head,relation,tail
PARAM::pin_flatness_deviation_um,BELONGS_TO,DIM::Physical
PARAM::pin_flatness_deviation_um,MEASURED_IN,TS::Appearance
PARAM::solder_pad_oxidation_percent,BELONGS_TO,DIM::Physical
PARAM::solder_pad_oxidation_percent,MEASURED_IN,TS::Appearance
PARAM::package_scratch_depth_um,BELONGS_TO,DIM::Physical
PARAM::package_scratch_depth_um,MEASURED_IN,TS::Appearance
PARAM::warpage_um,BELONGS_TO,DIM::Physical
PARAM::warpage_um,MEASURED_IN,TS::Appearance
PARAM::pin_coplanarity_percent,BELONGS_TO,DIM::Physical
PARAM::pin_coplanarity_percent,MEASURED_IN,TS::Appearance
PARAM::package_size_deviation_percent,BELONGS_TO,DIM::Physical
PARAM::package_size_deviation_percent,MEASURED_IN,TS::Appearance
PARAM::vdd_voltage,BELONGS_TO,DIM::Electrical_DC
PARAM::vdd_voltage,MEASURED_IN,TS::DC_Electrical
PARAM::idd_static_ma,BELONGS_TO,DIM::Electrical_DC
PARAM::idd_static_ma,MEASURED_IN,TS::DC_Electrical
PARAM::idd_dynamic_ma,BELONGS_TO,DIM::Electrical_DC
PARAM::idd_dynamic_ma,MEASURED_IN,TS::DC_Electrical
PARAM::voh_voltage,BELONGS_TO,DIM::Electrical_DC
PARAM::voh_voltage,MEASURED_IN,TS::DC_Electrical
PARAM::vol_voltage,BELONGS_TO,DIM::Electrical_DC
PARAM::vol_voltage,MEASURED_IN,TS::DC_Electrical
PARAM::vih_voltage,BELONGS_TO,DIM::Electrical_DC
PARAM::vih_voltage,MEASURED_IN,TS::DC_Electrical
PARAM::vil_voltage,BELONGS_TO,DIM::Electrical_DC
PARAM::vil_voltage,MEASURED_IN,TS::DC_Electrical
PARAM::iil_leakage_ua,BELONGS_TO,DIM::Electrical_DC
PARAM::iil_leakage_ua,MEASURED_IN,TS::DC_Electrical
PARAM::iol_leakage_ua,BELONGS_TO,DIM::Electrical_DC
PARAM::iol_leakage_ua,MEASURED_IN,TS::DC_Electrical
PARAM::setup_time_ns,BELONGS_TO,DIM::Electrical_AC
PARAM::setup_time_ns,MEASURED_IN,TS::AC_Electrical
PARAM::hold_time_ns,BELONGS_TO,DIM::Electrical_AC
PARAM::hold_time_ns,MEASURED_IN,TS::AC_Electrical
PARAM::propagation_delay_ns,BELONGS_TO,DIM::Electrical_AC
PARAM::propagation_delay_ns,MEASURED_IN,TS::AC_Electrical
PARAM::rise_time_ns,BELONGS_TO,DIM::Electrical_AC
PARAM::rise_time_ns,MEASURED_IN,TS::AC_Electrical
PARAM::fall_time_ns,BELONGS_TO,DIM::Electrical_AC
PARAM::fall_time_ns,MEASURED_IN,TS::AC_Electrical
PARAM::fmax_mhz,BELONGS_TO,DIM::Electrical_AC
PARAM::fmax_mhz,MEASURED_IN,TS::AC_Electrical
PARAM::aging_temperature_c,BELONGS_TO,DIM::Reliability
PARAM::aging_temperature_c,MEASURED_IN,TS::Aging
PARAM::aging_voltage_v,BELONGS_TO,DIM::Reliability
PARAM::aging_voltage_v,MEASURED_IN,TS::Aging
PARAM::aging_frequency_mhz,BELONGS_TO,DIM::Reliability
PARAM::aging_frequency_mhz,MEASURED_IN,TS::Aging
PARAM::aging_duration_hours,BELONGS_TO,DIM::Reliability
PARAM::aging_duration_hours,MEASURED_IN,TS::Aging
TS::Appearance,PRECEDES,TS::DC_Electrical
TS::DC_Electrical,PRECEDES,TS::AC_Electrical
TS::AC_Electrical,PRECEDES,TS::Functional
TS::Functional,PRECEDES,TS::Aging
CHIP_00000,OF_MODEL,MODEL::MODEL_B
CHIP_00000,EXHIBITS,FM::normal
CHIP_00000,UNDERGOES_TEST,TS::Appearance
CHIP_00000,UNDERGOES_TEST,TS::DC_Electrical
CHIP_00000,UNDERGOES_TEST,TS::AC_Electrical
CHIP_00000,UNDERGOES_TEST,TS::Functional
CHIP_00000,UNDERGOES_TEST,TS::Aging
CHIP_00001,OF_MODEL,MODEL::MODEL_C
CHIP_00001,EXHIBITS,FM::normal
CHIP_00001,UNDERGOES_TEST,TS::Appearance
CHIP_00001,UNDERGOES_TEST,TS::DC_Electrical
CHIP_00001,UNDERGOES_TEST,TS::AC_Electrical
CHIP_00001,UNDERGOES_TEST,TS::Functional
CHIP_00001,UNDERGOES_TEST,TS::Aging
CHIP_00002,OF_MODEL,MODEL::MODEL_B
CHIP_00002,EXHIBITS,FM::normal
CHIP_00002,UNDERGOES_TEST,TS::Appearance
CHIP_00002,UNDERGOES_TEST,TS::DC_Electrical
CHIP_00002,UNDERGOES_TEST,TS::AC_Electrical
CHIP_00002,UNDERGOES_TEST,TS::Functional
CHIP_00002,UNDERGOES_TEST,TS::Aging
CHIP_00003,OF_MODEL,MODEL::MODEL_C
CHIP_00003,EXHIBITS,FM::normal
CHIP_00003,UNDERGOES_TEST,TS::Appearance
CHIP_00003,UNDERGOES_TEST,TS::DC_Electrical
CHIP_00003,UNDERGOES_TEST,TS::AC_Electrical
CHIP_00003,UNDERGOES_TEST,TS::Functional
CHIP_00003,UNDERGOES_TEST,TS::Aging
CHIP_00004,OF_MODEL,MODEL::MODEL_A
CHIP_00004,EXHIBITS,FM::normal
CHIP_00004,UNDERGOES_TEST,TS::Appearance
CHIP_00004,UNDERGOES_TEST,TS::DC_Electrical
CHIP_00004,UNDERGOES_TEST,TS::AC_Electrical
CHIP_00004,UNDERGOES_TEST,TS::Functional
CHIP_00004,UNDERGOES_TEST,TS::Aging
CHIP_00005,OF_MODEL,MODEL::MODEL_B
CHIP_00005,EXHIBITS,FM::normal
CHIP_00005,UNDERGOES_TEST,TS::Appearance
CHIP_00005,UNDERGOES_TEST,TS::DC_Electrical
CHIP_00005,UNDERGOES_TEST,TS::AC_Electrical
CHIP_00005,UNDERGOES_TEST,TS::Functional
CHIP_00005,UNDERGOES_TEST,TS::Aging
CHIP_00006,OF_MODEL,MODEL::MODEL_B
CHIP_00006,EXHIBITS,FM::normal
CHIP_00006,UNDERGOES_TEST,TS::Appearance
CHIP_00006,UNDERGOES_TEST,TS::DC_Electrical
CHIP_00006,UNDERGOES_TEST,TS::AC_Electrical
CHIP_00006,UNDERGOES_TEST,TS::Functional
CHIP_00006,UNDERGOES_TEST,TS::Aging
CHIP_00007,OF_MODEL,MODEL::MODEL_C
CHIP_00007,EXHIBITS,FM::normal
CHIP_00007,UNDERGOES_TEST,TS::Appearance
CHIP_00007,UNDERGOES_TEST,TS::DC_Electrical
CHIP_00007,UNDERGOES_TEST,TS::AC_Electrical
CHIP_00007,UNDERGOES_TEST,TS::Functional
CHIP_00007,UNDERGOES_TEST,TS::Aging
CHIP_00008,OF_MODEL,MODEL::MODEL_A
CHIP_00008,EXHIBITS,FM::normal
CHIP_00008,UNDERGOES_TEST,TS::Appearance
CHIP_00008,UNDERGOES_TEST,TS::DC_Electrical
CHIP_00008,UNDERGOES_TEST,TS::AC_Electrical
CHIP_00008,UNDERGOES_TEST,TS::Functional
CHIP_00008,UNDERGOES_TEST,TS::Aging
CHIP_00009,OF_MODEL,MODEL::MODEL_B
CHIP_00009,EXHIBITS,FM::normal
CHIP_00009,UNDERGOES_TEST,TS::Appearance
CHIP_00009,UNDERGOES_TEST,TS::DC_Electrical
CHIP_00009,UNDERGOES_TEST,TS::AC_Electrical
CHIP_00009,UNDERGOES_TEST,TS::Functional
CHIP_00009,UNDERGOES_TEST,TS::Aging
CHIP_00010,OF_MODEL,MODEL::MODEL_A
CHIP_00010,EXHIBITS,FM::normal
CHIP_00010,UNDERGOES_TEST,TS::Appearance
CHIP_00010,UNDERGOES_TEST,TS::DC_Electrical
CHIP_00010,UNDERGOES_TEST,TS::AC_Electrical
CHIP_00010,UNDERGOES_TEST,TS::Functional
CHIP_00010,UNDERGOES_TEST,TS::Aging
CHIP_00011,OF_MODEL,MODEL::MODEL_B
CHIP_00011,EXHIBITS,FM::normal
CHIP_00011,UNDERGOES_TEST,TS::Appearance
CHIP_00011,UNDERGOES_TEST,TS::DC_Electrical
CHIP_00011,UNDERGOES_TEST,TS::AC_Electrical
CHIP_00011,UNDERGOES_TEST,TS::Functional
CHIP_00011,UNDERGOES_TEST,TS::Aging
CHIP_00012,OF_MODEL,MODEL::MODEL_A
CHIP_00012,EXHIBITS,FM::normal
CHIP_00012,UNDERGOES_TEST,TS::Appearance
CHIP_00012,UNDERGOES_TEST,TS::DC_Electrical
CHIP_00012,UNDERGOES_TEST,TS::AC_Electrical
CHIP_00012,UNDERGOES_TEST,TS::Functional
CHIP_00012,UNDERGOES_TEST,TS::Aging
CHIP_00013,OF_MODEL,MODEL::MODEL_C
CHIP_00013,EXHIBITS,FM::normal
CHIP_00013,UNDERGOES_TEST,TS::Appearance
CHIP_00013,UNDERGOES_TEST,TS::DC_Electrical
CHIP_00013,UNDERGOES_TEST,TS::AC_Electrical
CHIP_00013,UNDERGOES_TEST,TS::Functional
CHIP_00013,UNDERGOES_TEST,TS::Aging
CHIP_00014,OF_MODEL,MODEL::MODEL_B
CHIP_00014,EXHIBITS,FM::normal
CHIP_00014,UNDERGOES_TEST,TS::Appearance
CHIP_00014,UNDERGOES_TEST,TS::DC_Electrical
CHIP_00014,UNDERGOES_TEST,TS::AC_Electrical
CHIP_00014,UNDERGOES_TEST,TS::Functional
CHIP_00014,UNDERGOES_TEST,TS::Aging
CHIP_00015,OF_MODEL,MODEL::MODEL_B
CHIP_00015,EXHIBITS,FM::normal
CHIP_00015,UNDERGOES_TEST,TS::Appearance
CHIP_00015,UNDERGOES_TEST,TS::DC_Electrical
CHIP_00015,UNDERGOES_TEST,TS::AC_Electrical
CHIP_00015,UNDERGOES_TEST,TS::Functional
CHIP_00015,UNDERGOES_TEST,TS::Aging
CHIP_00016,OF_MODEL,MODEL::MODEL_A
CHIP_00016,EXHIBITS,FM::normal
CHIP_00016,UNDERGOES_TEST,TS::Appearance
CHIP_00016,UNDERGOES_TEST,TS::DC_Electrical
CHIP_00016,UNDERGOES_TEST,TS::AC_Electrical
CHIP_00016,UNDERGOES_TEST,TS::Functional
CHIP_00016,UNDERGOES_TEST,TS::Aging
CHIP_00017,OF_MODEL,MODEL::MODEL_A
CHIP_00017,EXHIBITS,FM::normal
CHIP_00017,UNDERGOES_TEST,TS::Appearance
CHIP_00017,UNDERGOES_TEST,TS::DC_Electrical
CHIP_00017,UNDERGOES_TEST,TS::AC_Electrical
CHIP_00017,UNDERGOES_TEST,TS::Functional
CHIP_00017,UNDERGOES_TEST,TS::Aging
CHIP_00018,OF_MODEL,MODEL::MODEL_B
CHIP_00018,EXHIBITS,FM::normal
CHIP_00018,UNDERGOES_TEST,TS::Appearance
CHIP_00018,UNDERGOES_TEST,TS::DC_Electrical
CHIP_00018,UNDERGOES_TEST,TS::AC_Electrical
