chip_id,application_scenario,compatibility_score,compatibility_level
CHIP_00000,high_frequency_computing,71.25,compatible
CHIP_00001,high_frequency_computing,45.3,incompatible
CHIP_00002,high_frequency_computing,71.27,compatible
CHIP_00003,high_frequency_computing,83.28,compatible
CHIP_00004,high_frequency_computing,28.0,incompatible
CHIP_00005,high_frequency_computing,38.59,incompatible
CHIP_00006,high_frequency_computing,66.91,marginal
CHIP_00007,high_frequency_computing,55.44,marginal
CHIP_00008,high_frequency_computing,59.48,marginal
CHIP_00009,high_frequency_computing,49.36,incompatible
CHIP_00010,high_frequency_computing,77.19,compatible
CHIP_00011,high_frequency_computing,78.72,compatible
CHIP_00012,high_frequency_computing,56.56,marginal
CHIP_00013,high_frequency_computing,84.87,compatible
CHIP_00014,high_frequency_computing,71.4,compatible
CHIP_00015,high_frequency_computing,51.28,marginal
CHIP_00016,high_frequency_computing,76.08,compatible
CHIP_00017,high_frequency_computing,43.39,incompatible
CHIP_00018,high_frequency_computing,85.99,compatible
CHIP_00019,high_frequency_computing,59.9,marginal
CHIP_00020,high_frequency_computing,58.5,marginal
CHIP_00021,high_frequency_computing,55.94,marginal
CHIP_00022,high_frequency_computing,86.39,compatible
CHIP_00023,high_frequency_computing,66.76,marginal
CHIP_00024,high_frequency_computing,71.32,compatible
CHIP_00025,high_frequency_computing,63.02,marginal
CHIP_00026,high_frequency_computing,72.64,compatible
CHIP_00027,high_frequency_computing,64.09,marginal
CHIP_00028,high_frequency_computing,68.83,marginal
CHIP_00029,high_frequency_computing,64.51,marginal
CHIP_00030,high_frequency_computing,100.0,compatible
CHIP_00031,high_frequency_computing,55.78,marginal
CHIP_00032,high_frequency_computing,46.8,incompatible
CHIP_00033,high_frequency_computing,55.69,marginal
CHIP_00034,high_frequency_computing,72.56,compatible
CHIP_00035,high_frequency_computing,89.48,compatible
CHIP_00036,high_frequency_computing,59.7,marginal
CHIP_00037,high_frequency_computing,46.72,incompatible
CHIP_00038,high_frequency_computing,42.5,incompatible
CHIP_00039,high_frequency_computing,71.27,compatible
CHIP_00040,high_frequency_computing,84.16,compatible
CHIP_00041,high_frequency_computing,74.64,compatible
CHIP_00042,high_frequency_computing,49.22,incompatible
CHIP_00043,high_frequency_computing,62.7,marginal
CHIP_00044,high_frequency_computing,53.23,marginal
CHIP_00045,high_frequency_computing,66.47,marginal
CHIP_00046,high_frequency_computing,85.14,compatible
CHIP_00047,high_frequency_computing,68.05,marginal
CHIP_00048,high_frequency_computing,73.72,compatible
CHIP_00049,high_frequency_computing,68.35,marginal
CHIP_00050,high_frequency_computing,66.35,marginal
CHIP_00051,high_frequency_computing,91.19,compatible
CHIP_00052,high_frequency_computing,27.97,incompatible
CHIP_00053,high_frequency_computing,59.15,marginal
CHIP_00054,high_frequency_computing,55.71,marginal
CHIP_00055,high_frequency_computing,42.39,incompatible
CHIP_00056,high_frequency_computing,62.78,marginal
CHIP_00057,high_frequency_computing,85.26,compatible
CHIP_00058,high_frequency_computing,44.34,incompatible
CHIP_00059,high_frequency_computing,77.61,compatible
CHIP_00060,high_frequency_computing,36.95,incompatible
CHIP_00061,high_frequency_computing,50.92,marginal
CHIP_00062,high_frequency_computing,68.23,marginal
CHIP_00063,high_frequency_computing,76.37,compatible
CHIP_00064,high_frequency_computing,75.32,compatible
CHIP_00065,high_frequency_computing,79.32,compatible
CHIP_00066,high_frequency_computing,66.57,marginal
CHIP_00067,high_frequency_computing,49.2,incompatible
CHIP_00068,high_frequency_computing,78.03,compatible
CHIP_00069,high_frequency_computing,53.73,marginal
CHIP_00070,high_frequency_computing,36.3,incompatible
CHIP_00071,high_frequency_computing,31.17,incompatible
CHIP_00072,high_frequency_computing,48.86,incompatible
CHIP_00073,high_frequency_computing,79.47,compatible
CHIP_00074,high_frequency_computing,74.81,compatible
CHIP_00075,high_frequency_computing,63.99,marginal
CHIP_00076,high_frequency_computing,51.78,marginal
CHIP_00077,high_frequency_computing,69.83,marginal
CHIP_00078,high_frequency_computing,60.97,marginal
