chip_id,scenario,fail_proba,suitable_proba,approve,truly_deployable
CHIP_00000,high_frequency_computing,0.014,0.858,0,1
CHIP_00001,high_frequency_computing,0.007,0.0,0,0
CHIP_00002,high_frequency_computing,0.011,0.878,0,1
CHIP_00003,high_frequency_computing,0.007,1.0,1,1
CHIP_00004,high_frequency_computing,0.005,0.0,0,0
CHIP_00005,high_frequency_computing,0.005,0.0,0,0
CHIP_00006,high_frequency_computing,0.006,0.0,0,0
CHIP_00007,high_frequency_computing,0.03,0.0,0,0
CHIP_00008,high_frequency_computing,0.004,0.0,0,0
CHIP_00009,high_frequency_computing,0.01,0.0,0,0
CHIP_00010,high_frequency_computing,0.064,1.0,0,1
CHIP_00011,high_frequency_computing,0.015,1.0,1,1
CHIP_00012,high_frequency_computing,0.005,0.0,0,0
CHIP_00013,high_frequency_computing,0.837,1.0,0,0
CHIP_00014,high_frequency_computing,0.029,0.999,0,1
CHIP_00015,high_frequency_computing,0.009,0.0,0,0
CHIP_00016,high_frequency_computing,0.007,1.0,1,1
CHIP_00017,high_frequency_computing,0.049,0.0,0,0
CHIP_00018,high_frequency_computing,0.262,1.0,0,1
CHIP_00019,high_frequency_computing,0.003,0.0,0,0
CHIP_00020,high_frequency_computing,0.006,0.0,0,0
CHIP_00021,high_frequency_computing,0.006,0.0,0,0
CHIP_00022,high_frequency_computing,0.008,1.0,1,1
CHIP_00023,high_frequency_computing,0.008,0.0,0,0
CHIP_00024,high_frequency_computing,0.004,1.0,1,1
CHIP_00025,high_frequency_computing,0.003,0.0,0,0
CHIP_00026,high_frequency_computing,0.409,1.0,0,0
CHIP_00027,high_frequency_computing,0.003,0.0,0,0
CHIP_00028,high_frequency_computing,0.995,0.009,0,0
CHIP_00029,high_frequency_computing,0.003,0.0,0,0
CHIP_00030,high_frequency_computing,0.018,1.0,1,1
CHIP_00031,high_frequency_computing,0.003,0.0,0,0
CHIP_00032,high_frequency_computing,0.004,0.0,0,0
CHIP_00033,high_frequency_computing,0.003,0.0,0,0
CHIP_00034,high_frequency_computing,0.019,0.986,1,1
CHIP_00035,high_frequency_computing,0.026,1.0,0,1
CHIP_00036,high_frequency_computing,0.99,0.0,0,0
CHIP_00037,high_frequency_computing,0.036,0.0,0,0
CHIP_00038,high_frequency_computing,0.01,0.0,0,0
CHIP_00039,high_frequency_computing,0.037,0.994,0,0
CHIP_00040,high_frequency_computing,0.33,1.0,0,0
CHIP_00041,high_frequency_computing,0.006,0.998,1,1
CHIP_00042,high_frequency_computing,0.006,0.0,0,0
CHIP_00043,high_frequency_computing,0.995,0.0,0,0
CHIP_00044,high_frequency_computing,0.004,0.0,0,0
CHIP_00045,high_frequency_computing,0.99,0.0,0,0
CHIP_00046,high_frequency_computing,0.011,1.0,1,1
CHIP_00047,high_frequency_computing,0.004,0.023,0,0
CHIP_00048,high_frequency_computing,0.638,1.0,0,1
CHIP_00049,high_frequency_computing,0.01,0.931,0,0
CHIP_00050,high_frequency_computing,0.011,0.0,0,0
CHIP_00051,high_frequency_computing,0.192,1.0,0,0
CHIP_00052,high_frequency_computing,0.02,0.0,0,0
