chip_id,fail_proba,decision,detail,ground_truth
CHIP_00000,0.014,reuse,high_frequency_computing,reuse
CHIP_00001,0.007,reuse,high_reliability_critical,reuse
CHIP_00002,0.011,reuse,high_frequency_computing,reuse
CHIP_00003,0.007,reuse,high_frequency_computing,reuse
CHIP_00004,0.005,reuse,power_efficient_device,reuse
CHIP_00005,0.005,reuse,high_reliability_critical,reuse
CHIP_00006,0.006,reuse,high_reliability_critical,reuse
CHIP_00007,0.03,reuse,high_reliability_critical,reuse
CHIP_00008,0.004,reuse,consumer_electronics,reuse
CHIP_00009,0.01,reuse,power_efficient_device,reuse
CHIP_00010,0.064,reuse,high_frequency_computing,reuse
CHIP_00011,0.015,reuse,high_frequency_computing,reuse
CHIP_00012,0.005,reuse,high_reliability_critical,reuse
CHIP_00013,0.837,repair,thermal_accumulation,repair
CHIP_00014,0.029,reuse,high_frequency_computing,reuse
CHIP_00015,0.009,reuse,high_reliability_critical,reuse
CHIP_00016,0.007,reuse,high_frequency_computing,reuse
CHIP_00017,0.049,reuse,power_efficient_device,reuse
CHIP_00018,0.262,reuse,high_frequency_computing,reuse
CHIP_00019,0.003,reuse,high_reliability_critical,reuse
CHIP_00020,0.006,reuse,power_efficient_device,reuse
CHIP_00021,0.006,reuse,power_efficient_device,reuse
CHIP_00022,0.008,reuse,high_frequency_computing,reuse
CHIP_00023,0.008,reuse,high_reliability_critical,reuse
CHIP_00024,0.004,reuse,high_frequency_computing,reuse
CHIP_00025,0.003,reuse,high_reliability_critical,reuse
CHIP_00026,0.409,repair,multi_param_combined,repair
CHIP_00027,0.003,reuse,high_reliability_critical,reuse
CHIP_00028,0.995,repair,noise_margin_insufficient,repair
CHIP_00029,0.003,reuse,high_reliability_critical,reuse
CHIP_00030,0.018,reuse,high_frequency_computing,reuse
CHIP_00031,0.003,reuse,high_reliability_critical,reuse
CHIP_00032,0.004,reuse,high_reliability_critical,reuse
CHIP_00033,0.003,reuse,power_efficient_device,reuse
CHIP_00034,0.019,reuse,high_frequency_computing,reuse
CHIP_00035,0.026,reuse,high_frequency_computing,reuse
CHIP_00036,0.99,reject,physical_damage,reject
CHIP_00037,0.036,reuse,power_efficient_device,reuse
CHIP_00038,0.01,reuse,power_efficient_device,reuse
CHIP_00039,0.037,reuse,high_frequency_computing,repair
CHIP_00040,0.33,repair,multi_param_combined,repair
CHIP_00041,0.006,reuse,high_frequency_computing,reuse
CHIP_00042,0.006,reuse,high_reliability_critical,reuse
CHIP_00043,0.995,reject,physical_damage,reject
CHIP_00044,0.004,reuse,consumer_electronics,reuse
CHIP_00045,0.99,reject,physical_damage,reject
CHIP_00046,0.011,reuse,high_frequency_computing,reuse
CHIP_00047,0.004,reuse,high_reliability_critical,reuse
CHIP_00048,0.638,repair,multi_param_combined,reuse
CHIP_00049,0.01,reuse,consumer_electronics,reuse
CHIP_00050,0.011,reuse,high_reliability_critical,reuse
CHIP_00051,0.192,reuse,high_frequency_computing,repair
CHIP_00052,0.02,reuse,power_efficient_device,reuse
CHIP_00053,0.004,reuse,high_reliability_critical,reuse
CHIP_00054,0.005,reuse,power_efficient_device,reuse
CHIP_00055,0.003,reuse,high_reliability_critical,reuse
CHIP_00056,0.004,reuse,power_efficient_device,reuse
CHIP_00057,0.019,reuse,high_frequency_computing,reuse
CHIP_00058,0.004,reuse,high_reliability_critical,reuse
CHIP_00059,0.01,reuse,high_frequency_computing,reuse
CHIP_00060,0.993,reject,physical_damage,reject
CHIP_00061,0.004,reuse,power_efficient_device,reuse
CHIP_00062,0.023,reuse,power_efficient_device,reuse
CHIP_00063,0.578,reject,physical_damage,reject
CHIP_00064,0.006,reuse,high_frequency_computing,reuse
CHIP_00065,0.877,repair,multi_param_combined,repair
CHIP_00066,0.003,reuse,high_frequency_computing,repair
CHIP_00067,0.005,reuse,power_efficient_device,reuse
CHIP_00068,0.017,reuse,high_frequency_computing,reuse
CHIP_00069,0.003,reuse,power_efficient_device,reuse
CHIP_00070,0.004,reuse,power_efficient_device,reuse
CHIP_00071,0.006,reuse,power_efficient_device,reuse
CHIP_00072,0.005,reuse,power_efficient_device,reuse
CHIP_00073,0.079,reuse,high_frequency_computing,reuse
CHIP_00074,0.004,reuse,high_frequency_computing,reuse
CHIP_00075,0.49,reject,physical_damage,repair
CHIP_00076,0.02,reuse,high_reliability_critical,reuse
CHIP_00077,0.017,reuse,consumer_electronics,reuse
CHIP_00078,0.009,reuse,high_reliability_critical,reuse
CHIP_00079,0.009,reuse,high_reliability_critical,reuse
CHIP_00080,0.005,reuse,high_frequency_computing,reuse
CHIP_00081,0.004,reuse,power_efficient_device,reuse
CHIP_00082,0.006,reuse,high_reliability_critical,reuse
CHIP_00083,0.004,reuse,high_reliability_critical,reuse
CHIP_00084,0.003,reuse,power_efficient_device,reuse
CHIP_00085,0.003,reuse,high_reliability_critical,reuse
CHIP_00086,0.004,reuse,power_efficient_device,reuse
CHIP_00087,0.007,reuse,power_efficient_device,reuse
CHIP_00088,0.007,reuse,consumer_electronics,reuse
CHIP_00089,0.797,repair,multi_param_combined,repair
CHIP_00090,0.017,reuse,high_frequency_computing,reuse
CHIP_00091,0.003,reuse,high_reliability_critical,reuse
CHIP_00092,0.003,reuse,consumer_electronics,reuse
CHIP_00093,0.005,reuse,power_efficient_device,reuse
CHIP_00094,0.008,reuse,power_efficient_device,reuse
CHIP_00095,0.004,reuse,power_efficient_device,reuse
CHIP_00096,0.005,reuse,power_efficient_device,reuse
CHIP_00097,0.012,reuse,high_reliability_critical,reuse
CHIP_00098,0.684,repair,multi_param_combined,repair
CHIP_00099,0.004,reuse,power_efficient_device,reuse
CHIP_00100,0.006,reuse,high_reliability_critical,reuse
CHIP_00101,0.01,reuse,high_frequency_computing,reuse
CHIP_00102,0.033,reuse,consumer_electronics,reuse
CHIP_00103,0.025,reuse,high_frequency_computing,reuse
CHIP_00104,0.004,reuse,power_efficient_device,reuse
CHIP_00105,0.009,reuse,high_frequency_computing,reuse
CHIP_00106,0.012,reuse,high_reliability_critical,reuse
CHIP_00107,0.003,reuse,power_efficient_device,reuse
CHIP_00108,0.02,reuse,high_frequency_computing,reuse
CHIP_00109,0.004,reuse,power_efficient_device,reuse
CHIP_00110,0.041,reuse,high_frequency_computing,reuse
CHIP_00111,0.011,reuse,high_reliability_critical,reuse
CHIP_00112,0.005,reuse,power_efficient_device,reuse
CHIP_00113,0.021,reuse,power_efficient_device,reuse
CHIP_00114,0.008,reuse,high_reliability_critical,reuse
CHIP_00115,0.008,reuse,power_efficient_device,reuse
CHIP_00116,0.067,reuse,power_efficient_device,reuse
CHIP_00117,0.565,reject,physical_damage,reject
CHIP_00118,0.01,reuse,high_frequency_computing,reuse
CHIP_00119,0.01,reuse,high_reliability_critical,reuse
CHIP_00120,0.008,reuse,power_efficient_device,reuse
CHIP_00121,0.002,reuse,consumer_electronics,reuse
CHIP_00122,0.03,reuse,consumer_electronics,reuse
CHIP_00123,0.01,reuse,high_frequency_computing,reuse
CHIP_00124,0.078,reuse,high_frequency_computing,reuse
CHIP_00125,0.007,reuse,consumer_electronics,reuse
CHIP_00126,0.014,reuse,high_frequency_computing,reuse
CHIP_00127,0.005,reuse,power_efficient_device,reuse
CHIP_00128,0.004,reuse,power_efficient_device,reuse
CHIP_00129,0.004,reuse,power_efficient_device,reuse
CHIP_00130,0.005,reuse,high_frequency_computing,reuse
CHIP_00131,0.007,reuse,power_efficient_device,reuse
CHIP_00132,0.01,reuse,high_frequency_computing,reuse
CHIP_00133,0.003,reuse,power_efficient_device,reuse
CHIP_00134,0.008,reuse,power_efficient_device,reuse
CHIP_00135,0.016,reuse,power_efficient_device,reuse
CHIP_00136,0.063,reuse,high_reliability_critical,reuse
CHIP_00137,0.802,repair,multi_param_combined,repair
CHIP_00138,0.016,reuse,high_frequency_computing,reuse
CHIP_00139,0.017,reuse,high_frequency_computing,reuse
CHIP_00140,0.004,reuse,high_reliability_critical,reuse
CHIP_00141,0.016,reuse,power_efficient_device,reuse
CHIP_00142,0.048,reuse,power_efficient_device,reuse
CHIP_00143,0.002,reuse,high_frequency_computing,reuse
CHIP_00144,0.006,reuse,high_reliability_critical,reuse
CHIP_00145,0.003,reuse,power_efficient_device,reuse
CHIP_00146,0.01,reuse,high_reliability_critical,reuse
CHIP_00147,0.003,reuse,power_efficient_device,reuse
CHIP_00148,0.033,reuse,high_frequency_computing,reuse
CHIP_00149,0.016,reuse,high_frequency_computing,reuse
CHIP_00150,0.004,reuse,power_efficient_device,reuse
CHIP_00151,0.005,reuse,power_efficient_device,reuse
CHIP_00152,0.004,reuse,high_reliability_critical,reuse
CHIP_00153,0.015,reuse,high_reliability_critical,reuse
CHIP_00154,0.004,reuse,power_efficient_device,reuse
CHIP_00155,0.03,reuse,high_frequency_computing,reuse
CHIP_00156,0.002,reuse,consumer_electronics,reuse
CHIP_00157,0.027,reuse,high_frequency_computing,reuse
CHIP_00158,0.004,reuse,high_reliability_critical,reuse
CHIP_00159,0.011,reuse,high_reliability_critical,reuse
CHIP_00160,0.004,reuse,power_efficient_device,reuse
CHIP_00161,0.003,reuse,high_reliability_critical,reuse
CHIP_00162,0.014,reuse,high_frequency_computing,reuse
CHIP_00163,0.068,reuse,power_efficient_device,reuse
CHIP_00164,0.017,reuse,high_frequency_computing,reuse
CHIP_00165,0.008,reuse,power_efficient_device,reuse
CHIP_00166,0.014,reuse,high_frequency_computing,reuse
CHIP_00167,0.011,reuse,high_frequency_computing,reuse
CHIP_00168,0.994,reject,physical_damage,reject
CHIP_00169,0.035,reuse,consumer_electronics,reuse
CHIP_00170,0.003,reuse,power_efficient_device,reuse
CHIP_00171,0.992,repair,noise_margin_insufficient,repair
CHIP_00172,0.003,reuse,power_efficient_device,reuse
CHIP_00173,0.005,reuse,power_efficient_device,reuse
CHIP_00174,0.005,reuse,power_efficient_device,reuse
CHIP_00175,0.051,reuse,consumer_electronics,reuse
CHIP_00176,0.009,reuse,high_frequency_computing,reuse
CHIP_00177,0.004,reuse,high_frequency_computing,reuse
CHIP_00178,0.004,reuse,consumer_electronics,reuse
CHIP_00179,0.031,reuse,consumer_electronics,reuse
CHIP_00180,0.01,reuse,high_frequency_computing,reuse
CHIP_00181,0.025,reuse,consumer_electronics,reuse
CHIP_00182,0.003,reuse,power_efficient_device,reuse
CHIP_00183,0.021,reuse,high_frequency_computing,reuse
CHIP_00184,0.028,reuse,high_frequency_computing,reuse
CHIP_00185,0.02,reuse,high_frequency_computing,reuse
CHIP_00186,0.019,reuse,high_frequency_computing,reuse
CHIP_00187,0.031,reuse,power_efficient_device,reuse
CHIP_00188,0.005,reuse,power_efficient_device,reuse
CHIP_00189,0.014,reuse,high_frequency_computing,reuse
CHIP_00190,0.012,reuse,high_frequency_computing,reuse
CHIP_00191,0.003,reuse,power_efficient_device,reuse
CHIP_00192,0.004,reuse,high_reliability_critical,reuse
CHIP_00193,0.013,reuse,high_frequency_computing,reuse
CHIP_00194,0.004,reuse,power_efficient_device,reuse
CHIP_00195,0.004,reuse,power_efficient_device,reuse
CHIP_00196,0.012,reuse,high_frequency_computing,reuse
CHIP_00197,0.006,reuse,power_efficient_device,reuse
CHIP_00198,0.017,reuse,consumer_electronics,reuse
CHIP_00199,0.004,reuse,high_reliability_critical,reuse
CHIP_00200,0.004,reuse,high_frequency_computing,reuse
CHIP_00201,0.036,reuse,high_frequency_computing,reuse
CHIP_00202,0.043,reuse,consumer_electronics,reuse
CHIP_00203,0.006,reuse,consumer_electronics,reuse
CHIP_00204,0.013,reuse,high_reliability_critical,reuse
CHIP_00205,0.004,reuse,power_efficient_device,reuse
CHIP_00206,0.005,reuse,power_efficient_device,reuse
CHIP_00207,0.008,reuse,power_efficient_device,reuse
CHIP_00208,0.008,reuse,high_reliability_critical,reuse
CHIP_00209,0.003,reuse,power_efficient_device,reuse
CHIP_00210,0.023,reuse,high_frequency_computing,reuse
CHIP_00211,0.019,reuse,power_efficient_device,reuse
CHIP_00212,0.013,reuse,power_efficient_device,reuse
CHIP_00213,0.004,reuse,power_efficient_device,reuse
CHIP_00214,0.005,reuse,power_efficient_device,reuse
CHIP_00215,0.01,reuse,high_frequency_computing,reuse
CHIP_00216,0.017,reuse,high_frequency_computing,reuse
CHIP_00217,0.012,reuse,high_frequency_computing,reuse
CHIP_00218,0.011,reuse,power_efficient_device,reuse
CHIP_00219,0.004,reuse,power_efficient_device,reuse
CHIP_00220,0.013,reuse,high_reliability_critical,reuse
CHIP_00221,0.002,reuse,power_efficient_device,reuse
CHIP_00222,0.008,reuse,high_frequency_computing,reuse
CHIP_00223,0.158,reuse,power_efficient_device,reuse
CHIP_00224,0.009,reuse,consumer_electronics,reuse
CHIP_00225,0.004,reuse,high_frequency_computing,reuse
CHIP_00226,0.488,repair,multi_param_combined,reuse
CHIP_00227,0.014,reuse,high_frequency_computing,reuse
CHIP_00228,0.383,repair,multi_param_combined,reuse
CHIP_00229,0.014,reuse,power_efficient_device,reuse
CHIP_00230,0.007,reuse,power_efficient_device,reuse
CHIP_00231,0.007,reuse,consumer_electronics,reuse
CHIP_00232,0.016,reuse,consumer_electronics,reuse
CHIP_00233,0.094,reuse,high_frequency_computing,reuse
CHIP_00234,0.003,reuse,power_efficient_device,reuse
CHIP_00235,0.011,reuse,power_efficient_device,reuse
CHIP_00236,0.004,reuse,power_efficient_device,reuse
CHIP_00237,0.005,reuse,power_efficient_device,reuse
CHIP_00238,0.005,reuse,high_reliability_critical,reuse
CHIP_00239,0.003,reuse,high_reliability_critical,reuse
CHIP_00240,0.012,reuse,high_reliability_critical,reuse
CHIP_00241,0.003,reuse,high_reliability_critical,reuse
CHIP_00242,0.008,reuse,power_efficient_device,reuse
CHIP_00243,0.007,reuse,power_efficient_device,reuse
CHIP_00244,0.988,repair,thermal_accumulation,repair
CHIP_00245,0.005,reuse,power_efficient_device,reuse
CHIP_00246,0.005,reuse,power_efficient_device,reuse
CHIP_00247,0.015,reuse,high_frequency_computing,reuse
CHIP_00248,0.114,reuse,high_frequency_computing,reuse
CHIP_00249,0.006,reuse,power_efficient_device,reuse
CHIP_00250,0.025,reuse,power_efficient_device,reuse
CHIP_00251,0.004,reuse,high_reliability_critical,reuse
CHIP_00252,0.01,reuse,high_frequency_computing,reuse
CHIP_00253,0.005,reuse,high_reliability_critical,reuse
CHIP_00254,0.004,reuse,power_efficient_device,reuse
CHIP_00255,0.081,reuse,power_efficient_device,reuse
CHIP_00256,0.002,reuse,power_efficient_device,reuse
CHIP_00257,0.01,reuse,power_efficient_device,reuse
CHIP_00258,0.005,reuse,power_efficient_device,reuse
CHIP_00259,0.017,reuse,high_reliability_critical,reuse
CHIP_00260,0.006,reuse,high_reliability_critical,reuse
CHIP_00261,0.007,reuse,consumer_electronics,reuse
CHIP_00262,0.004,reuse,consumer_electronics,reuse
CHIP_00263,0.943,repair,noise_margin_insufficient,repair
CHIP_00264,0.942,repair,multi_param_combined,repair
CHIP_00265,0.073,reuse,high_frequency_computing,repair
CHIP_00266,0.005,reuse,high_frequency_computing,reuse
CHIP_00267,0.159,reuse,consumer_electronics,reuse
CHIP_00268,0.019,reuse,high_frequency_computing,reuse
CHIP_00269,0.003,reuse,high_reliability_critical,reuse
CHIP_00270,0.015,reuse,power_efficient_device,reuse
CHIP_00271,0.003,reuse,power_efficient_device,reuse
CHIP_00272,0.005,reuse,high_frequency_computing,reuse
CHIP_00273,0.023,reuse,high_frequency_computing,reuse
CHIP_00274,0.016,reuse,high_frequency_computing,reuse
CHIP_00275,0.003,reuse,power_efficient_device,reuse
CHIP_00276,0.995,reject,physical_damage,reject
CHIP_00277,0.004,reuse,power_efficient_device,reuse
CHIP_00278,0.014,reuse,high_frequency_computing,reuse
CHIP_00279,0.013,reuse,power_efficient_device,reuse
CHIP_00280,0.006,reuse,high_frequency_computing,reuse
CHIP_00281,0.003,reuse,power_efficient_device,reuse
CHIP_00282,0.025,reuse,high_frequency_computing,reuse
CHIP_00283,0.004,reuse,high_frequency_computing,reuse
CHIP_00284,0.012,reuse,power_efficient_device,reuse
CHIP_00285,0.003,reuse,power_efficient_device,reuse
CHIP_00286,0.006,reuse,high_reliability_critical,reuse
CHIP_00287,0.004,reuse,power_efficient_device,reuse
CHIP_00288,0.004,reuse,power_efficient_device,reuse
CHIP_00289,0.004,reuse,power_efficient_device,reuse
CHIP_00290,0.005,reuse,power_efficient_device,reuse
CHIP_00291,0.005,reuse,high_reliability_critical,reuse
CHIP_00292,0.009,reuse,high_frequency_computing,reuse
CHIP_00293,0.308,reject,physical_damage,reject
CHIP_00294,0.01,reuse,power_efficient_device,reuse
CHIP_00295,0.004,reuse,power_efficient_device,reuse
CHIP_00296,0.005,reuse,high_frequency_computing,reuse
CHIP_00297,0.004,reuse,high_reliability_critical,reuse
CHIP_00298,0.004,reuse,power_efficient_device,reuse
CHIP_00299,0.016,reuse,high_frequency_computing,reuse
CHIP_00300,0.012,reuse,high_frequency_computing,reuse
CHIP_00301,0.927,repair,multi_param_combined,reuse
CHIP_00302,0.045,reuse,high_frequency_computing,reuse
CHIP_00303,0.008,reuse,power_efficient_device,reuse
CHIP_00304,0.003,reuse,high_reliability_critical,reuse
CHIP_00305,0.002,reuse,high_reliability_critical,reuse
CHIP_00306,0.006,reuse,power_efficient_device,reuse
CHIP_00307,0.014,reuse,high_frequency_computing,reuse
CHIP_00308,0.016,reuse,high_reliability_critical,reuse
CHIP_00309,0.022,reuse,high_frequency_computing,reuse
CHIP_00310,0.014,reuse,high_frequency_computing,reuse
CHIP_00311,0.003,reuse,power_efficient_device,reuse
CHIP_00312,0.022,reuse,high_frequency_computing,reuse
CHIP_00313,0.009,reuse,consumer_electronics,reuse
CHIP_00314,0.053,reuse,high_frequency_computing,reuse
CHIP_00315,0.007,reuse,power_efficient_device,reuse
CHIP_00316,0.005,reuse,consumer_electronics,reuse
CHIP_00317,0.016,reuse,power_efficient_device,reuse
CHIP_00318,0.977,reject,physical_damage,reject
CHIP_00319,0.003,reuse,power_efficient_device,reuse
CHIP_00320,0.005,reuse,high_frequency_computing,reuse
CHIP_00321,0.008,reuse,high_reliability_critical,reuse
CHIP_00322,0.015,reuse,high_frequency_computing,reuse
CHIP_00323,0.007,reuse,high_frequency_computing,reuse
CHIP_00324,0.071,reuse,high_frequency_computing,reuse
CHIP_00325,0.298,reuse,high_frequency_computing,reuse
CHIP_00326,0.01,reuse,high_reliability_critical,reuse
