chip_id,update_step,vdd_voltage,idd_dynamic_ma,propagation_delay_ns,fmax_mhz,model_accuracy,model_version
CHIP_00000,1,3.381576819495907,111.51517276517326,5.302019625139164,206.2394803666431,0.78,v1.1
CHIP_00000,2,3.1656596719192662,166.3665965625737,5.637060198231946,259.9861682932478,0.81,v1.2
CHIP_00000,3,3.203320860785625,89.95515423418456,6.136687497134537,241.64956584100187,0.84,v1.3
CHIP_00000,4,3.4595256904654583,157.14259912921906,6.48901711448759,410.20125866596703,0.87,v1.4
CHIP_00000,5,3.214063064494981,170.89182142569632,6.442120035718388,256.1720697781072,0.9,v1.5
CHIP_00001,1,3.1434418600152254,40.649058045389225,3.6259355880576325,386.8723022734222,0.78,v1.1
CHIP_00001,2,3.2187395694058467,196.54050385712748,3.916123040258002,301.2462637544324,0.81,v1.2
CHIP_00001,3,3.3500243527019076,200.0747457962014,4.520149603185881,246.3912752143924,0.84,v1.3
CHIP_00001,4,3.099150184859725,127.07788673054414,12.084338795783346,280.2665146676334,0.87,v1.4
CHIP_00001,5,3.1549909891980548,141.0033227096503,6.923482327553446,249.80057149590138,0.9,v1.5
CHIP_00002,1,3.1884209429983317,275.62880568736426,6.2439278534177545,422.5305786923948,0.78,v1.1
CHIP_00002,2,3.2599697904722356,238.66985683535736,7.314857064699234,340.8939858168374,0.81,v1.2
CHIP_00002,3,3.1771256237144656,113.21422301164078,6.4001122527179515,272.21741519915537,0.84,v1.3
CHIP_00002,4,3.3372540448187658,126.1608982832271,6.342993316366015,247.57993321302868,0.87,v1.4
CHIP_00002,5,3.345026198113007,99.5743960248731,4.814403174140238,282.799539011171,0.9,v1.5
CHIP_00003,1,3.209817888363375,117.91312722041808,6.060115280185805,356.62745820888443,0.78,v1.1
CHIP_00003,2,3.325071675990814,175.3379953706912,5.671610377233448,244.40832979746233,0.81,v1.2
CHIP_00003,3,3.1273141689677435,123.52259936255992,5.256756890468263,249.7763718112374,0.84,v1.3
CHIP_00003,4,3.4552858498341665,163.81980987162189,5.316959356204021,343.7656595081721,0.87,v1.4
CHIP_00003,5,3.502245680501998,135.92278235832651,3.571515300583921,325.74769967123007,0.9,v1.5
CHIP_00004,1,3.1850709516231417,102.33206765637547,8.348009663051934,403.6646297772042,0.78,v1.1
CHIP_00004,2,3.365024179514055,169.49359181408417,3.057984641550198,235.30820005916428,0.81,v1.2
CHIP_00004,3,3.4323025427373666,124.6538959557067,3.900154276684101,284.80483669023,0.84,v1.3
CHIP_00004,4,3.357703839649848,139.6249691367859,5.14402863541856,125.75426463895167,0.87,v1.4
CHIP_00004,5,3.292918749616895,199.87077632254173,5.36280723746743,465.5949491485235,0.9,v1.5
CHIP_00005,1,3.2277685643601925,125.52409369387225,4.158946016575823,244.1225291049679,0.78,v1.1
CHIP_00005,2,3.3536924142720994,136.2546567121524,9.388684849615178,319.77430534280296,0.81,v1.2
CHIP_00005,3,3.2128021235392143,100.36936497596463,8.833383230555771,317.6575546488958,0.84,v1.3
CHIP_00005,4,3.43052396789339,153.47534056209471,5.531754356703798,407.18236170855215,0.87,v1.4
CHIP_00005,5,3.337279259694247,168.08922934196983,4.689450715611998,369.71357228958533,0.9,v1.5
CHIP_00006,1,3.292573703623633,122.24651887648969,9.804973155188726,276.0313041298088,0.78,v1.1
CHIP_00006,2,3.2209636900594227,206.87144612329428,6.857449390080451,246.9692798593574,0.81,v1.2
CHIP_00006,3,3.292114877128463,183.44623360117706,5.922604524198146,362.8796273662437,0.84,v1.3
CHIP_00006,4,3.299341509807126,190.90398265569019,4.882154224504183,248.32466108085666,0.87,v1.4
CHIP_00006,5,3.4053005256479105,164.55420245437267,6.873924212469488,397.9464745742723,0.9,v1.5
CHIP_00007,1,3.242743149786199,176.61887641428206,10.139984042505175,287.1894171480335,0.78,v1.1
CHIP_00007,2,3.1793607836549267,191.10209104572695,2.17043304078806,212.18835528905004,0.81,v1.2
CHIP_00007,3,3.3006216529353822,148.56234440190062,5.876438117381923,476.55059651534697,0.84,v1.3
CHIP_00007,4,3.308461306112229,121.13165447935084,4.2177175250098955,263.5119786480896,0.87,v1.4
CHIP_00007,5,3.1786299875110484,178.00277672162446,6.10340390377614,337.34114743527624,0.9,v1.5
CHIP_00008,1,3.380068128737026,180.9635483877784,2.737055403971118,277.5017749422395,0.78,v1.1
CHIP_00008,2,3.2759957180828083,218.86288786599636,8.430221236646148,265.91847791111377,0.81,v1.2
CHIP_00008,3,3.200871980639218,157.92639704178276,4.862577666123216,293.31523921210453,0.84,v1.3
CHIP_00008,4,3.4215601349483027,163.4437506117384,4.5402982763068485,247.29310366269263,0.87,v1.4
CHIP_00008,5,3.1563969347881504,178.12027289512494,6.064370025445361,345.0800836629812,0.9,v1.5
CHIP_00009,1,3.298321364445943,97.18884942128963,5.611380908478431,391.15916400401454,0.78,v1.1
CHIP_00009,2,3.3058245831893833,232.134369960022,6.004499792423684,457.4153228713981,0.81,v1.2
CHIP_00009,3,3.504899984214995,105.12044174375197,4.20658748911919,263.4357624741641,0.84,v1.3
CHIP_00009,4,3.129205174826846,173.19822485216307,6.373207918479901,315.3687811284507,0.87,v1.4
CHIP_00009,5,3.1776492037084845,229.42448503860535,1.7391560522441822,194.16189998538408,0.9,v1.5
CHIP_00010,1,3.3886174512871348,165.79593001089242,4.271788372416473,304.398420342293,0.78,v1.1
CHIP_00010,2,3.312917398378931,208.8804109738516,3.0674116367543767,323.35163175841643,0.81,v1.2
CHIP_00010,3,3.4078769757126417,100.09722427390602,5.3968790543146925,295.283014347588,0.84,v1.3
CHIP_00010,4,3.13864250794816,164.60846633522465,6.203747965313271,419.7016080690227,0.87,v1.4
CHIP_00010,5,3.297867692521204,171.8878435213464,8.44440532385832,248.65791738198726,0.9,v1.5
CHIP_00011,1,3.1819125846172773,156.1036396860216,5.105536390036992,292.735516188772,0.78,v1.1
CHIP_00011,2,3.2577000548824597,108.00789112071308,7.3685080041848465,298.36731423734614,0.81,v1.2
CHIP_00011,3,3.5245473054314798,98.00077248083525,9.512704196509945,323.4002291043647,0.84,v1.3
CHIP_00011,4,3.301854391383836,94.96662205291717,4.174860582981428,400.6906954082398,0.87,v1.4
CHIP_00011,5,3.033448731189832,60.23897207626182,2.2762392692009277,393.6830064762375,0.9,v1.5
CHIP_00012,1,3.3680736633024724,99.34879199592328,4.556764116862937,310.38659231541146,0.78,v1.1
CHIP_00012,2,3.4019674602738976,99.34635027637367,5.766404477233389,272.456340546089,0.81,v1.2
CHIP_00012,3,3.289701631968645,105.17557738903511,5.919648455492503,237.40425159206015,0.84,v1.3
CHIP_00012,4,3.3095482304546184,228.12488717755272,7.587443917297849,411.1847514872179,0.87,v1.4
CHIP_00012,5,3.3316421394169593,206.64185082800623,1.8955562615755,164.432874284248,0.9,v1.5
CHIP_00013,1,3.199498810770688,103.19974004271299,7.595827597259646,179.3018023442145,0.78,v1.1
CHIP_00013,2,3.1643256770993102,143.90507332541657,5.773982080810241,370.00390599568675,0.81,v1.2
CHIP_00013,3,3.273260493294451,140.86425235689066,7.274398707121203,228.00839118426865,0.84,v1.3
CHIP_00013,4,3.312266835850388,178.4979983776217,4.759224885072175,368.85412043291393,0.87,v1.4
CHIP_00013,5,3.214323957797587,228.11772102084643,4.870528653379256,264.8784662514935,0.9,v1.5
CHIP_00014,1,3.153915257516054,93.99535274515901,3.876797240455625,209.7631837681655,0.78,v1.1
CHIP_00014,2,3.1817477393710956,152.1933623246708,6.702286338859624,322.36575949386446,0.81,v1.2
CHIP_00014,3,2.980309721559245,97.92553222925433,7.7741844769800315,192.50573461093995,0.84,v1.3
CHIP_00014,4,3.287894912204127,95.19191752640926,8.110809429030393,236.43521121735967,0.87,v1.4
CHIP_00014,5,3.368777321908111,113.77983950288458,0.6482828415572461,337.67753300867264,0.9,v1.5
CHIP_00015,1,3.108083404710445,104.33714250181424,9.23177165100207,550.3787048515397,0.78,v1.1
CHIP_00015,2,3.3020115658460982,105.42846056898193,5.551835063163946,194.8761176422655,0.81,v1.2
CHIP_00015,3,3.2577793302665365,230.11942489004443,5.918931511025625,186.2078647069402,0.84,v1.3
CHIP_00015,4,3.340643539815292,64.4178401228384,1.746275083783357,361.260504204952,0.87,v1.4
CHIP_00015,5,3.22362570953531,228.67462639088546,3.3912531215015695,398.2014862961498,0.9,v1.5
CHIP_00016,1,3.4641571376017266,157.78070443693343,4.89480252591053,251.96380744683748,0.78,v1.1
CHIP_00016,2,3.2462126015729855,69.9034550623465,6.781427591064354,348.4501415892485,0.81,v1.2
CHIP_00016,3,3.2770555493540816,151.49760800511558,4.59211012386751,202.68633227758653,0.84,v1.3
CHIP_00016,4,3.169596549417334,121.58032277938055,4.714876743897376,392.43986926375356,0.87,v1.4
CHIP_00016,5,3.3668467289390467,227.01699146263712,6.880312743718447,173.20254904326939,0.9,v1.5
CHIP_00017,1,3.151544585950808,96.99085698040216,4.794601041983566,237.90356322793227,0.78,v1.1
CHIP_00017,2,3.3692008512608176,208.9251647999876,3.083403873246527,168.56731930945224,0.81,v1.2
CHIP_00017,3,3.4644394114000483,161.5713144917345,4.429329695307615,426.52574798463115,0.84,v1.3
CHIP_00017,4,3.42451953201423,120.4182207911247,7.240887195013759,392.18400019731365,0.87,v1.4
CHIP_00017,5,3.383855610871214,213.4062976821162,3.600922986012356,302.0889000382112,0.9,v1.5
CHIP_00018,1,3.4645476537652673,130.5097907783132,4.209731305328306,308.88389835844055,0.78,v1.1
CHIP_00018,2,3.141696083966282,166.3185900623752,2.1681926867300647,401.3410747822534,0.81,v1.2
CHIP_00018,3,3.137884898036631,192.46145724496984,4.040584242649613,215.3821618867531,0.84,v1.3
CHIP_00018,4,3.3026241421033493,164.96617592218786,5.68408437068548,327.19466782345444,0.87,v1.4
CHIP_00018,5,3.3691019820664048,49.44527385743402,5.770456850039906,190.8840651314943,0.9,v1.5
CHIP_00019,1,3.173147721577474,94.98490527906866,1.5549565374520031,299.1163960607765,0.78,v1.1
CHIP_00019,2,3.1232831997971866,170.2527605197596,8.537516100279724,425.1849027713258,0.81,v1.2
CHIP_00019,3,3.190899674326232,90.64083114238284,7.062593759033647,304.5338638505616,0.84,v1.3
CHIP_00019,4,3.292593454041293,84.60581900645772,5.740833804317084,369.20740256038926,0.87,v1.4
CHIP_00019,5,3.2227433851346423,173.18857511007604,5.819356258074484,247.77899927941846,0.9,v1.5
CHIP_00020,1,3.2948905023928985,97.67065114649489,7.211702714044723,217.6248643643,0.78,v1.1
CHIP_00020,2,3.2402096525291353,195.1286530122492,4.45320194126178,225.13119005423783,0.81,v1.2
CHIP_00020,3,3.318368584047782,239.7649924987128,7.828176934495646,348.81304817451024,0.84,v1.3
