chip_id,update_step,timestamp,vdd_voltage,idd_static_ma,idd_dynamic_ma,propagation_delay_ns,fmax_mhz,model_accuracy_old_data,model_accuracy_new_data,model_accuracy_combined,catastrophic_forgetting_risk,training_loss,validation_loss,model_version,training_samples_count,training_time_hours
CHIP_00000,1,2026-06-02T00:00:00,3.3048357076505614,4.998520709648645,152.04306561430207,5.662302985640802,298.6292331263833,0.78,0.735,0.752,0.27999999999999997,0.46,0.515,v1.1,100,1
CHIP_00000,2,2026-06-09T00:00:00,3.2482931521525407,5.5537638446522175,152.50230418745872,5.473052561406504,302.31280021792986,0.81,0.77,0.784,0.26,0.42,0.48000000000000004,v1.2,200,2
CHIP_00000,3,2026-06-16T00:00:00,3.216829115359377,4.980281073928923,151.0258868146981,5.33867197553422,290.77541083743483,0.84,0.8049999999999999,0.816,0.24,0.38,0.44500000000000006,v1.3,300,3
CHIP_00000,4,2026-06-23T00:00:00,3.191885623537951,4.856150663899673,151.34274199778582,5.449197592447879,292.1384814933235,0.87,0.84,0.848,0.21999999999999997,0.33999999999999997,0.41000000000000003,v1.4,400,4
CHIP_00000,5,2026-06-30T00:00:00,3.2732824384460772,5.132267109854039,150.70258461406377,5.407525181378654,296.2780863773741,0.9,0.875,0.88,0.19999999999999998,0.3,0.375,v1.5,500,5
CHIP_00000,6,2026-07-07T00:00:00,3.185546129485493,4.894701926773309,151.727094055037,5.499936131008119,297.34153125103364,0.9,0.9099999999999999,0.91,0.18,0.26,0.34,v1.6,600,6
CHIP_00000,7,2026-07-14T00:00:00,3.12991466938853,5.835683455352681,150.6595083257862,5.464228907104411,302.712724560516,0.9,0.92,0.91,0.15999999999999998,0.21999999999999997,0.30500000000000005,v1.7,700,7
CHIP_00000,8,2026-07-21T00:00:00,3.0789578175014487,5.382659078501427,144.92098962836067,5.447181395110157,299.3843061793456,0.9,0.92,0.91,0.13999999999999999,0.18,0.27,v1.8,800,8
CHIP_00000,9,2026-07-28T00:00:00,3.15692332899977,5.411410484356992,150.55305515283527,5.559889630441071,290.80739004816286,0.9,0.92,0.91,0.12,0.14,0.235,v1.9,900,9
CHIP_00000,10,2026-08-04T00:00:00,3.0640077895802644,5.261808368712064,154.17136667865674,5.634361828956846,289.1847992231863,0.9,0.92,0.91,0.09999999999999998,0.09999999999999998,0.2,v1.10,1000,10
CHIP_00001,1,2026-06-02T00:00:00,3.2962041984697397,4.924475315875105,148.06923399908212,5.571167628884087,304.95499761247976,0.78,0.735,0.752,0.27999999999999997,0.46,0.515,v1.1,100,1
CHIP_00001,2,2026-06-09T00:00:00,3.30656400595581,4.828234743033208,149.27236287244634,5.553126343140356,304.4777256356118,0.81,0.77,0.784,0.26,0.42,0.48000000000000004,v1.2,200,2
CHIP_00001,3,2026-06-16T00:00:00,3.216041288107735,5.064302307000855,146.98099507798193,5.410379337591933,303.46262911197095,0.84,0.8049999999999999,0.816,0.24,0.38,0.44500000000000006,v1.3,300,3
CHIP_00001,4,2026-06-23T00:00:00,3.287812001428541,5.1383969635259,153.41059869367606,5.576163602504764,295.97440122697435,0.87,0.84,0.848,0.21999999999999997,0.33999999999999997,0.41000000000000003,v1.4,400,4
CHIP_00001,5,2026-06-30T00:00:00,3.2180697802754206,5.661410969939791,150.39252188267014,5.7064643655814,285.90127447955126,0.9,0.875,0.88,0.19999999999999998,0.3,0.375,v1.5,500,5
CHIP_00001,6,2026-07-07T00:00:00,3.2210951252187607,5.266114120471451,149.70297794860238,5.56917607765355,288.86215542699557,0.9,0.9099999999999999,0.91,0.18,0.26,0.34,v1.6,600,6
CHIP_00001,7,2026-07-14T00:00:00,3.149016405608124,5.387133771453525,155.13368213422453,5.518172978172635,294.55753198553407,0.9,0.92,0.91,0.15999999999999998,0.21999999999999997,0.30500000000000005,v1.7,700,7
CHIP_00001,8,2026-07-21T00:00:00,3.114912147820773,5.594620635310623,151.78625332897906,5.527023979623296,300.96633716556676,0.9,0.92,0.91,0.13999999999999999,0.18,0.27,v1.8,800,8
CHIP_00001,9,2026-07-28T00:00:00,3.1248538774674017,5.650593497159867,148.79384071836796,5.557233785340223,296.2394592343392,0.9,0.92,0.91,0.12,0.14,0.235,v1.9,900,9
CHIP_00001,10,2026-08-04T00:00:00,3.0268242525933937,5.488836083119373,151.78316581653968,5.600511345664246,296.82706433312427,0.9,0.92,0.91,0.09999999999999998,0.09999999999999998,0.2,v1.10,1000,10
CHIP_00002,1,2026-06-02T00:00:00,3.209231462897479,4.913806403170392,149.0718564504197,5.4297722730778375,298.99357144167,0.78,0.735,0.752,0.27999999999999997,0.46,0.515,v1.1,100,1
CHIP_00002,2,2026-06-09T00:00:00,3.2802025428407267,5.645855770363159,150.72373343849551,5.545755039072276,299.22777042116917,0.81,0.77,0.784,0.26,0.42,0.48000000000000004,v1.2,200,2
CHIP_00002,3,2026-06-16T00:00:00,3.1440614392350477,5.112045837365235,150.4806906298231,5.776324211248529,298.4381951760944,0.84,0.8049999999999999,0.816,0.24,0.38,0.44500000000000006,v1.3,300,3
CHIP_00002,4,2026-06-23T00:00:00,3.2350773671166806,5.149586469088427,146.8939658871414,5.654282281451502,302.95966516343384,0.87,0.84,0.848,0.21999999999999997,0.33999999999999997,0.41000000000000003,v1.4,400,4
CHIP_00002,5,2026-06-30T00:00:00,3.2395515973521523,4.927183763561579,154.7083829328083,5.409814893720772,301.93428546900134,0.9,0.875,0.88,0.19999999999999998,0.3,0.375,v1.5,500,5
CHIP_00002,6,2026-07-07T00:00:00,3.289522781290499,4.942839102460794,148.90110681119168,5.569965136508764,296.282621729419,0.9,0.9099999999999999,0.91,0.18,0.26,0.34,v1.6,600,6
CHIP_00002,7,2026-07-14T00:00:00,3.082466828446693,5.300568892441809,147.51308885882167,5.617359243063518,294.002878828831,0.9,0.92,0.91,0.15999999999999998,0.21999999999999997,0.30500000000000005,v1.7,700,7
CHIP_00002,8,2026-07-21T00:00:00,3.217496720250877,5.0850240122991295,149.83381545138297,5.661351721736967,292.2456784178302,0.9,0.92,0.91,0.13999999999999999,0.18,0.27,v1.8,800,8
CHIP_00002,9,2026-07-28T00:00:00,3.131372996730206,5.752142826284729,146.07755029631633,5.608463385853231,299.4994139712421,0.9,0.92,0.91,0.12,0.14,0.235,v1.9,900,9
CHIP_00002,10,2026-08-04T00:00:00,3.1390911435888653,5.028914786736576,147.03863016074718,5.6521941565616896,299.48492336616596,0.9,0.92,0.91,0.09999999999999998,0.09999999999999998,0.2,v1.10,1000,10
CHIP_00003,1,2026-06-02T00:00:00,3.292524642517294,5.143934462849093,148.05992583526452,5.5332253697161,301.26536236649343,0.78,0.735,0.752,0.27999999999999997,0.46,0.515,v1.1,100,1
CHIP_00003,2,2026-06-09T00:00:00,3.2242824290986816,5.639732353343427,151.62149876273534,5.400869650279735,302.88276804316916,0.81,0.77,0.784,0.26,0.42,0.48000000000000004,v1.2,200,2
CHIP_00003,3,2026-06-16T00:00:00,3.191265916488634,5.356125381122736,153.77578673702223,5.447931768164829,304.21688064622157,0.84,0.8049999999999999,0.816,0.24,0.38,0.44500000000000006,v1.3,300,3
CHIP_00003,4,2026-06-23T00:00:00,3.240639046346825,5.406618047998347,156.09037894796185,5.515461188399713,295.43131917821256,0.87,0.84,0.848,0.21999999999999997,0.33999999999999997,0.41000000000000003,v1.4,400,4
CHIP_00003,5,2026-06-30T00:00:00,3.1555242785187234,4.955256914510369,150.26869487175767,5.5841151974816645,300.3834539966501,0.9,0.875,0.88,0.19999999999999998,0.3,0.375,v1.5,500,5
CHIP_00003,6,2026-07-07T00:00:00,3.221359162451801,5.243900567563372,154.96060223147194,5.533534316676204,312.4008458329481,0.9,0.9099999999999999,0.91,0.18,0.26,0.34,v1.6,600,6
CHIP_00003,7,2026-07-14T00:00:00,3.19128336738825,5.022852733075116,147.48732250581665,5.618247241524319,297.48268607337076,0.9,0.92,0.91,0.15999999999999998,0.21999999999999997,0.30500000000000005,v1.7,700,7
CHIP_00003,8,2026-07-21T00:00:00,3.175700024704604,5.461971287372064,150.5815132620294,5.495320628193159,290.82576387657065,0.9,0.92,0.91,0.13999999999999999,0.18,0.27,v1.8,800,8
CHIP_00003,9,2026-07-28T00:00:00,3.0976742523966485,5.616919638297042,151.54228123239062,5.465426122128801,299.0659046292559,0.9,0.92,0.91,0.12,0.14,0.235,v1.9,900,9
CHIP_00003,10,2026-08-04T00:00:00,3.1192658689864414,5.13484276913966,151.4611753178366,5.6058208718446,292.2851485108469,0.9,0.92,0.91,0.09999999999999998,0.09999999999999998,0.2,v1.10,1000,10
CHIP_00004,1,2026-06-02T00:00:00,3.297889368017414,5.20823535791047,153.34915372952582,5.61538020520349,292.91165316021454,0.78,0.735,0.752,0.27999999999999997,0.46,0.515,v1.1,100,1
CHIP_00004,2,2026-06-09T00:00:00,3.2131087480042435,5.234510580162598,151.74135785273663,5.5715047686306045,318.8636574532736,0.81,0.77,0.784,0.26,0.42,0.48000000000000004,v1.2,200,2
CHIP_00004,3,2026-06-16T00:00:00,3.268544525534658,5.4606696920541795,153.1620052904796,5.59513912513058,297.82365377679827,0.84,0.8049999999999999,0.816,0.24,0.38,0.44500000000000006,v1.3,300,3
CHIP_00004,4,2026-06-23T00:00:00,3.257948461024663,4.9281524356387285,149.68954417977997,5.49146364521709,299.6093706969316,0.87,0.84,0.848,0.21999999999999997,0.33999999999999997,0.41000000000000003,v1.4,400,4
CHIP_00004,5,2026-06-30T00:00:00,3.3157329283336754,4.639820442222476,152.55878057112355,5.388728412881035,296.64034067105285,0.9,0.875,0.88,0.19999999999999998,0.3,0.375,v1.5,500,5
CHIP_00004,6,2026-07-07T00:00:00,3.234447529848368,5.259284005728639,147.36676566621207,5.488469629074003,302.1979887446734,0.9,0.9099999999999999,0.91,0.18,0.26,0.34,v1.6,600,6
CHIP_00004,7,2026-07-14T00:00:00,3.1234816684141427,5.344937576874592,150.83671551971142,5.504839965239419,309.31972044662666,0.9,0.92,0.91,0.15999999999999998,0.21999999999999997,0.30500000000000005,v1.7,700,7
CHIP_00004,8,2026-07-21T00:00:00,3.1716959511159004,4.712457224002718,151.3593629443083,5.513821353523161,302.6621666739811,0.9,0.92,0.91,0.13999999999999999,0.18,0.27,v1.8,800,8
CHIP_00004,9,2026-07-28T00:00:00,3.0803739630783644,5.32557906755993,152.4149618369414,5.676575519417012,292.19851796472113,0.9,0.92,0.91,0.12,0.14,0.235,v1.9,900,9
CHIP_00004,10,2026-08-04T00:00:00,3.083274938207952,5.257516406651714,149.04001230227885,5.776545424028109,300.02490855480477,0.9,0.92,0.91,0.09999999999999998,0.09999999999999998,0.2,v1.10,1000,10
CHIP_00005,1,2026-06-02T00:00:00,3.2169558022832474,5.315358584116433,156.46646859103788,5.613246526055114,292.20315017022995,0.78,0.735,0.752,0.27999999999999997,0.46,0.515,v1.1,100,1
CHIP_00005,2,2026-06-09T00:00:00,3.235788296356687,5.460073344755987,148.07699160314365,5.564381942814623,303.4731702671467,0.81,0.77,0.784,0.26,0.42,0.48000000000000004,v1.2,200,2
CHIP_00005,3,2026-06-16T00:00:00,3.1936534764210958,5.1021423931814605,140.5761979797928,5.4275612358665715,298.13715924303415,0.84,0.8049999999999999,0.816,0.24,0.38,0.44500000000000006,v1.3,300,3
CHIP_00005,4,2026-06-23T00:00:00,3.157610840901757,5.64972339117949,146.10957586611812,5.495995551330302,299.8537028864304,0.87,0.84,0.848,0.21999999999999997,0.33999999999999997,0.41000000000000003,v1.4,400,4
CHIP_00005,5,2026-06-30T00:00:00,3.2720636644533054,4.7692413546461685,153.98949125646487,5.551023306101959,294.0924567447602,0.9,0.875,0.88,0.19999999999999998,0.3,0.375,v1.5,500,5
CHIP_00005,6,2026-07-07T00:00:00,3.2031051737131633,5.299717908672041,148.79934936852362,5.566980208499001,296.8734320156912,0.9,0.9099999999999999,0.91,0.18,0.26,0.34,v1.6,600,6
CHIP_00005,7,2026-07-14T00:00:00,3.165675867262562,5.478639202356314,155.45805044843604,5.446218450117315,309.2651668732814,0.9,0.92,0.91,0.15999999999999998,0.21999999999999997,0.30500000000000005,v1.7,700,7
CHIP_00005,8,2026-07-21T00:00:00,3.0423956100238745,5.274464471489325,152.56495161945375,5.6080991867735035,295.286502400897,0.9,0.92,0.91,0.13999999999999999,0.18,0.27,v1.8,800,8
CHIP_00005,9,2026-07-28T00:00:00,3.109593887482136,5.21209971960235,149.13190572916736,5.674960209702102,299.98507742982525,0.9,0.92,0.91,0.12,0.14,0.235,v1.9,900,9
