chip_id,production_date,storage_start,storage_end,deployment_start,deployment_end,storage_days,deployment_days,total_lifetime_days,production_cost_yuan,testing_cost_yuan,storage_cost_yuan,deployment_cost_yuan,repair_cost_yuan,recycling_value_yuan,storage_condition,deployment_condition,final_status,total_cost_yuan,revenue_generated_yuan,roi_percent
CHIP_00000,2024-12-22,2024-12-22,2025-07-17,2025-07-17,2027-01-13,207,545,752,1549.6779213414234,287.97969621785234,41.425646529230605,937.3321561299189,69.26509031136541,302.878312874597,excellent,fair,still_running,2885.6805105297904,706.1003010149097,-75.5308912945018
CHIP_00001,2024-11-22,2024-11-22,2025-09-24,2025-09-24,2026-07-01,306,280,586,1952.1415726709051,419.0252460366599,127.51505242035475,707.0995787796683,691.4407761597092,455.48139397228334,excellent,good,failed_rejected,3897.222226067297,1861.3637812890152,-52.23870558781748
CHIP_00002,2024-11-15,2024-11-15,2025-03-11,2025-03-11,2026-10-14,116,582,698,1861.5324117528114,312.3613449175117,24.711342830415337,492.88988288742763,769.2296159629369,388.2563923451956,poor,excellent,still_running,3460.724598351103,1869.990834775416,-45.965338135649624
CHIP_00003,2024-04-02,2024-04-02,2025-01-04,2025-01-04,2025-12-09,277,339,616,632.1750283768978,270.15039473714955,130.64937469562796,799.5890310733831,204.05765031627965,254.8758297299701,excellent,poor,end_of_life,2036.621479199338,2539.272276510653,24.680619469304784
CHIP_00004,2024-08-06,2024-08-06,2024-10-22,2024-10-22,2026-03-12,77,506,583,859.8478186931943,487.773411384954,11.884362875541731,216.0443664638584,619.7262105895085,328.4824469173208,excellent,excellent,repaired_and_running,2195.276170007057,1669.2490680246442,-23.96177342829361
CHIP_00005,2024-06-16,2024-06-16,2024-09-05,2024-09-05,2026-04-01,81,573,654,1958.622497410812,122.97621019191615,8.17505760253762,845.6157787002038,695.4375638017461,223.55121752559512,fair,poor,failed_rejected,3630.827107707216,2712.695770964865,-25.287112536794126
CHIP_00006,2024-01-15,2024-01-15,2024-11-29,2024-11-29,2026-07-12,319,590,909,1025.0411282074206,473.26447804581807,58.58440987880457,335.6345321572305,61.582246285672326,288.48966921953615,fair,good,end_of_life,1954.106794574946,2799.511052787937,43.26295065141933
CHIP_00007,2024-08-27,2024-08-27,2025-02-27,2025-02-27,2026-03-19,184,385,569,1962.9895425268787,226.29259653091478,54.87058721812474,410.8457683797084,500.63776219644075,289.9065644513781,good,poor,repaired_and_running,3155.636256852067,1007.7134561902003,-68.06623532727902
CHIP_00008,2024-05-04,2024-05-04,2024-10-12,2024-10-12,2026-04-06,161,541,702,1941.1068150006777,226.2826518925738,36.53087427054661,402.819798237476,364.4131680162497,152.90778833832644,excellent,fair,end_of_life,2971.1533074175236,4592.243516055177,54.56097484403043
CHIP_00009,2024-03-23,2024-03-23,2024-07-20,2024-07-20,2025-04-05,119,259,378,1323.3743015760106,103.70527244500916,39.01351659300254,659.3706332962317,879.7896475377175,438.69490782773374,excellent,poor,end_of_life,3005.2533714479714,1919.6538830067195,-36.12339308077027
CHIP_00010,2024-06-17,2024-06-17,2025-03-30,2025-03-30,2027-03-13,286,713,999,1897.2232478683113,466.97166050654704,92.34642395190215,969.3887755191174,157.34785939782992,496.06509795567945,poor,good,failed_rejected,3583.2779672437073,3668.8970118721654,2.389405606016023
CHIP_00011,2024-11-19,2024-11-19,2025-03-29,2025-03-29,2026-03-15,130,351,481,1001.3213258227995,266.29296807311505,46.79773025150387,906.1117891823992,141.93947936298545,276.2956456203332,poor,excellent,failed_rejected,2362.4632926928034,4749.7064400928675,101.04889903618421
CHIP_00012,2024-08-03,2024-08-03,2024-11-13,2024-11-13,2025-06-27,102,226,328,1164.3873593834821,453.9951774523296,11.821043420811662,607.1629811811044,500.1599047616638,109.90149866652351,excellent,excellent,failed_rejected,2737.5264661993915,865.1822103026927,-68.39547595301035
CHIP_00013,2024-04-05,2024-04-05,2025-01-24,2025-01-24,2025-10-26,294,275,569,1516.232052085421,315.3018492399549,110.31142612257496,251.70078655844577,193.87295493183632,63.419617948636244,fair,good,still_running,2387.4190689382326,512.166498080421,-78.54727287957036
CHIP_00014,2024-11-15,2024-11-15,2025-07-16,2025-07-16,2026-10-27,243,468,711,1521.2203097925867,395.3865356937235,46.729234462656194,726.5023018087255,247.35603967043318,216.25454291747747,excellent,poor,still_running,2937.194421428125,2154.0548385481175,-26.662844555561595
